dt,x,y,position,velocity,acceleration,jerk,heading
0.250000,0.001135,0.375000,0.007639,0.061112,0.244448,0.977791,0.000197
0.250000,0.029801,0.375078,0.036305,0.114665,0.214213,-0.120939,0.005234
0.250000,0.094129,0.375790,0.100637,0.257326,0.570643,1.425720,0.017020
0.250000,0.207816,0.378989,0.214369,0.454927,0.790405,0.879047,0.039659
0.250000,0.383301,0.389403,0.390162,0.703175,0.992991,0.810344,0.080111
0.250000,0.629486,0.417720,0.637971,0.991234,1.152236,0.636981,0.152488
0.250000,0.944140,0.486830,0.960125,1.288619,1.189540,0.149216,0.290888
0.250000,1.287059,0.640701,1.335983,1.503431,0.859250,-1.321161,0.588659
0.250000,1.539888,0.936168,1.724858,1.555498,0.208267,-2.603932,1.166037
0.250000,1.597702,1.471002,2.262807,2.151798,2.385200,8.707733,1.671959
0.250000,1.413046,2.209028,3.023583,3.043104,3.565225,4.720101,1.919708
0.250000,1.029855,3.032261,3.931630,3.632186,2.356328,-4.835590,2.092455
0.250000,0.479781,4.031573,5.072334,4.562816,3.722519,5.464766,1.982020
0.250000,0.428050,5.521658,6.563316,5.963929,5.604449,7.527717,1.132994
0.250000,1.519811,6.604768,8.101195,6.151515,0.750345,-19.416414,0.545087
0.250000,2.963741,7.200391,9.663149,6.247815,0.385199,-1.460584,0.255852
0.250000,4.549390,7.474055,11.272240,6.436364,0.754199,1.475998,0.116988
0.250000,6.171642,7.678041,12.907266,6.540107,0.414969,-1.356918,0.122474
0.250000,8.001646,7.599362,14.738961,7.326777,3.146683,10.926854,6.059475
0.250000,9.733319,6.821118,16.637475,7.594055,1.069111,-8.310285,5.669768
0.250000,11.008256,5.218704,18.685205,8.190921,2.387461,5.273400,4.834066
0.250000,10.577258,3.291783,20.659739,7.898136,-1.171138,-14.234397,4.389062
0.250000,10.603831,1.939714,22.012068,5.409317,-9.955276,-35.136554,5.468573
0.250000,12.010929,1.375469,23.528082,6.064057,2.618961,50.296948,6.196738
0.250000,13.588252,1.664058,25.131588,6.414022,1.399859,-4.876408,0.372252
0.250000,15.006676,2.426089,26.741748,6.440642,0.106480,-5.173514,0.684877
0.250000,15.484012,3.527365,27.942023,4.801100,-6.558169,-26.658598,1.786874
0.250000,14.798807,4.819578,29.404664,5.850563,4.197853,43.024090,2.169403
0.250000,13.987489,6.212399,31.016553,6.447557,2.387977,-7.239504,1.927533
0.250000,14.456815,6.594365,31.621669,2.420464,-16.108372,-73.985396,4.357151
0.250000,13.815828,5.363065,33.009821,5.552607,12.528572,114.547776,4.123543
0.250000,13.071536,4.391602,34.233630,4.895237,-2.629482,-60.632214,4.008972
0.250000,12.365258,3.589431,35.302419,4.275155,-2.480328,0.596615,3.983578
0.250000,11.759405,2.892396,36.225953,3.694137,-2.324072,0.625024,4.019547
0.250000,11.279295,2.270854,37.011331,3.141513,-2.210495,0.454308,4.097606
0.250000,10.928273,1.719038,37.665333,2.616007,-2.102024,0.433885,4.199843
0.250000,10.692742,1.244345,38.195246,2.119654,-1.985414,0.466439,4.307135
0.250000,10.547504,0.856065,38.609801,1.658217,-1.845746,0.558670,4.403159
0.250000,10.463811,0.555018,38.922264,1.249855,-1.633448,0.849194,4.479659
0.250000,10.417875,0.333768,39.148233,0.903872,-1.383932,0.998063,4.535694
0.250000,10.393718,0.181846,39.302063,0.615322,-1.154200,0.918928,4.573645
0.250000,10.381600,0.086974,39.397706,0.382571,-0.931004,0.892785,4.597020
0.250000,10.376006,0.035924,39.449062,0.205425,-0.708587,0.889669,4.609475
0.250000,10.373900,0.015012,39.470079,0.084070,-0.485420,0.892664,4.614550
0.250000,10.373446,0.010361,39.474752,0.018691,-0.261513,0.895628,4.615677
0.250000,10.373446,0.010361,39.474752,0.000000,-0.074765,0.746993,4.615677
